spanish,english,seen_freq
como,as,0
yo,I,0
su,his,0
que,that,0
él,he,0
era,was,0
para,for,0
en,on,0
son,are,0
con,with,0
ellos,they,0
ser,be,0
en,at,0
uno,one,0
tener,have,0
este,this,0
desde,from,0
por,by,0
caliente,hot,0
palabra,word,0
pero,but,0
qué,what,0
algunos,some,0
es,is,0
lo,it,0
usted,you,0
o,or,0
tenido,had,0
la,the,0
de,of,0
a,to,0
y,and,0
un,a,0
en,in,0
nos,we,0
lata,can,0
fuera,out,0
otros,other,0
eran,were,0
que,which,0
hacer,do,0
su,their,0
tiempo,time,0
si,if,0
lo hará,will,0
cómo,how,0
dicho,said,0
un,an,0
cada,each,0
decir,tell,0
hace,does,0
conjunto,set,0
tres,three,0
querer,want,0
aire,air,0
así,well,0
también,also,0
jugar,play,0
pequeño,small,0
fin,end,0
poner,put,0
casa,home,0
leer,read,0
mano,hand,0
puerto,port,0
grande,large,0
deletrear,spell,0
añadir,add,0
incluso,even,0
tierra,land,0
aquí,here,0
debe,must,0
grande,big,0
alto,high,0
tal,such,0
siga,follow,0
acto,act,0
por qué,why,0
preguntar,ask,0
hombres,men,0
cambio,change,0
se fue,went,0
luz,light,0
tipo,kind,0
fuera,off,0
necesitará,need,0
casa,house,0
imagen,picture,0
tratar,try,0
nosotros,us,0
de nuevo,again,0
animal,animal,0
punto,point,0
madre,mother,0
mundo,world,0
cerca,near,0
construir,build,0
auto,self,0
tierra,earth,0
padre,father,0
cualquier,any,0
nuevo,new,0
trabajo,work,0
parte,part,0
tomar,take,0
conseguir,get,0
lugar,place,0
hecho,made,0
vivir,live,0
donde,where,0
después,after,0
espalda,back,0
poco,little,0
sólo,only,0
ronda,round,0
hombre,man,0
años,year,0
vino,came,0
show,show,0
cada,every,0
buena,good,0
me,me,0
dar,give,0
nuestro,our,0
bajo,under,0
nombre,name,0
muy,very,0
a través de,through,0
sólo,just,0
forma,form,0
frase,sentence,0
gran,great,0
pensar,think,0
decir,say,0
ayudar,help,0
bajo,low,0
línea,line,0
ser distinto,differ,0
"a su vez,",turn,0
causa,cause,0
mucho,much,0
significará,mean,0
antes,before,0
movimiento,move,0
derecho,right,0
niño,boy,0
viejo,old,0
demasiado,too,0
misma,same,0
ella,she,0
todo,all,0
hay,there,0
cuando,when,0
hasta,up,0
uso,use,0
su,your,0
camino,way,0
acerca,about,0
muchos,many,0
entonces,then,0
ellos,them,0
escribir,write,0
haría,would,0
como,like,0
así,so,0
éstos,these,0
su,her,0
largo,long,0
hacer,make,0
cosa,thing,0
ver,see,0
él,him,0
dos,two,0
tiene,has,0
buscar,look,0
más,more,0
día,day,0
podía,could,0
ir,go,0
venir,come,0
hizo,did,0
número,number,0
sonar,sound,0
no,no,0
más,most,0
personas,people,0
mi,my,0
sobre,over,0
saber,know,0
agua,water,0
que,than,0
llamada,call,0
primero,first,0
que,who,0
puede,may,0
abajo,down,0
lado,side,0
estado,been,0
ahora,now,0
encontrar,find,0
cabeza,head,0
de pie,stand,0
propio,own,0
página,page,0
debería,should,0
país,country,0
encontrado,found,0
respuesta,answer,0
escuela,school,0
crecer,grow,0
estudio,study,0
todavía,still,0
aprender,learn,0
planta,plant,0
cubierta,cover,1
alimentos,food,0
sol,sun,0
cuatro,four,0
entre,between,0
estado,state,0
mantener,keep,0
ojo,eye,0
nunca,never,0
último,last,0
dejar,let,0
pensado,thought,0
ciudad,city,0
árbol,tree,0
cruzar,cross,0
granja,farm,0
duro,hard,0
inicio,start,0
podría,might,0
historia,story,0
sierra,saw,0
ahora,far,0
mar,sea,0
dibujar,draw,0
izquierda,left,0
tarde,late,0
ejecutar,run,0
no,don’t,0
mientras,while,0
prensa,press,0
Cerrar,close,0
noche,night,0
reales,real,0
vida,life,0
pocos,few,0
norte,north,0
libro,book,0
llevar,carry,0
tomó,took,0
ciencia,science,0
comer,eat,0
habitación,room,0
amigo,friend,0
comenzó,began,0
gusta,idea,0
peces,fish,0
montaña,mountain,0
Deténgase,stop,0
una vez,once,0
base de,base,0
escuchar,hear,0
caballo,horse,0
cortada,cut,0
seguro,sure,0
ver,watch,0
colores,color,0
cara,face,0
madera,wood,0
principal,main,0
abierta,open,0
parecer,seem,0
juntos,together,0
próximo,next,0
blanco,white,0
niños,children,0
comenzar,begin,0
conseguido,got,0
caminar,walk,0
ejemplo,example,0
aliviar,ease,0
papel,paper,0
grupo,group,0
siempre,always,0
música,music,0
los,those,0
ambos,both,0
marca,mark,0
menudo,often,0
carta,letter,0
hasta,until,0
milla,mile,0
río,river,0
coche,car,0
pies,feet,0
cuidado,care,0
segundo,second,0
suficiente,enough,0
llano,plain,0
chica,girl,0
habitual,usual,0
joven,young,0
listo,ready,0
por encima de,above,0
nunca,ever,0
rojo,red,0
lista,list,0
aunque,though,0
sentir,feel,0
charla,talk,0
pájaro,bird,0
pronto,soon,0
cuerpo,body,0
perro,dog,0
familia,family,0
directa,direct,0
plantear,pose,0
dejar,leave,0
canción,song,0
medir,measure,0
puerta,door,0
producto,product,0
negro,black,0
corto,short,0
numeral,numeral,0
clase,class,0
viento,wind,0
pregunta,question,0
suceder,happen,0
completo,complete,0
buque,ship,0
zona,area,0
medio,half,0
roca,rock,0
orden,order,1
fuego,fire,0
sur,south,0
problema,problem,0
pieza,piece,0
dicho,told,0
sabía,knew,0
pasar,pass,0
desde,since,0
cima,top,0
todo,whole,0
rey,king,0
calle,street,0
pulgadas,inch,0
multiplicar,multiply,0
nada,nothing,0
curso,course,0
quedarse,stay,0
rueda,wheel,0
completo,full,0
fuerza,force,0
azul,blue,0
objeto,object,0
decidir,decide,0
superficie,surface,0
profunda,deep,0
luna,moon,0
isla,island,0
pie,foot,0
sistema,system,0
ocupado,busy,0
prueba,test,0
registro,record,0
barco,boat,0
común,common,0
oro,gold,0
posible,possible,0
plano,plane,0
lugar,stead,0
seco,dry,0
maravilla,wonder,0
risa,laugh,0
mil,thousand,0
hace,ago,0
corrió,ran,0
comprobar,check,0
juego,game,0
forma,shape,0
equiparar,equate,0
caliente,hot,0
señorita,miss,0
traído,brought,0
calor,heat,0
nieve,snow,0
neumáticos,tire,0
traer,bring,0
sí,yes,0
distante,distant,0
llenar,fill,0
al este,east,0
pintar,paint,0
idioma,language,0
entre,among,0
unidad,unit,0
potencia,power,0
ciudad,town,0
fina,fine,0
cierto,certain,0
volar,fly,0
caer,fall,0
conducir,lead,0
grito,cry,0
oscuro,dark,0
máquina,machine,0
nota,note,0
espere,wait,0
plan de,plan,0
figura,figure,0
estrella,star,0
caja,box,0
sustantivo,noun,0
campo,field,0
resto,rest,0
correcta,correct,0
capaz,able,0
libra,pound,0
hecho,done,0
belleza,beauty,0
unidad,drive,0
destacado,stood,0
contener,contain,0
delante,front,0
enseñar,teach,0
semana,week,0
último,final,0
dio,gave,0
verde,green,0
oh,oh,0
rápido,quick,0
desarrollar,develop,0
océano,ocean,0
caliente,warm,0
libre,free,0
minuto,minute,0
fuerte,strong,0
especial,special,0
mente,mind,0
detrás,behind,0
claro,clear,0
cola,tail,0
Produce,produce,0
hecho,fact,0
espacio,space,0
oído,heard,0
mejor,best,0
horas,hour,0
mejor,better,0
verdadero,TRUE,0
durante,during,0
cien,hundred,0
cinco,five,0
recordar,remember,0
paso,step,0
temprana,early,0
mantenga,hold,0
oeste,west,0
suelo,ground,0
interés,interest,0
llegar,reach,0
rápido,fast,0
verbo,verb,0
cantar,sing,0
escuchar,listen,0
seis,six,0
mesa,table,0
viajes,travel,0
menos,less,0
mañana,morning,0
diez,ten,0
sencilla,simple,0
varios,several,0
vocal,vowel,0
hacia,toward,0
guerra,war,0
sentar,lay,0
contra,against,0
patrón,pattern,0
lenta,slow,0
centro,center,0
amar,love,0
persona,person,0
dinero,money,0
servir,serve,0
aparecerá,appear,0
carretera,road,0
mapa,map,0
lluvia,rain,0
regla,rule,0
gobernar,govern,0
Halar,pull,0
frío,cold,0
aviso,notice,0
voz,voice,0
energía,energy,0
caza,hunt,0
probable,probable,0
cama,bed,0
hermano,brother,0
huevo,egg,0
paseo,ride,0
celular,cell,0
creer,believe,0
quizás,perhaps,0
recoger,pick,0
repentina,sudden,0
contar,count,0
plaza,square,0
razón,reason,0
longitud,length,0
representar,represent,0
arte,art,0
sujeto,subject,0
región,region,0
tamaño,size,0
variar,vary,0
resolver,settle,0
hablar,speak,0
peso,weight,0
general,general,0
hielo,ice,0
materia,matter,0
círculo,circle,0
par,pair,0
incluir,include,0
brecha,divide,0
sílaba,syllable,0
sentido,felt,0
gran,grand,0
bola,ball,0
aún,yet,0
ola,wave,0
caer,drop,0
corazón,heart,0
am,am,0
presente,present,0
pesada,heavy,0
danza,dance,0
motor,engine,0
posición,position,0
brazo,arm,0
amplio,wide,0
vela,sail,0
materiales,material,0
fracción,fraction,0
bosque,forest,0
sentarse,sit,0
carrera,race,0
ventana,window,0
tienda,store,0
verano,summer,0
tren,train,0
sueño,sleep,0
demostrar,prove,0
solitario,lone,0
pierna,leg,0
ejercicio,exercise,1
pared,wall,0
capturas,catch,0
monte,mount,0
desear,wish,0
cielo,sky,0
bordo,board,0
alegría,joy,0
invierno,winter,0
satélite,sat,0
escrito,written,0
salvaje,wild,0
instrumento,instrument,0
guardado,kept,0
vidrio,glass,0
hierba,grass,0
vaca,cow,0
trabajo,job,0
borde,edge,0
signo,sign,0
visita,visit,0
pasado,past,0
suave,soft,1
diversión,fun,0
brillante,bright,0
gas,gas,0
tiempo,weather,0
mes,month,0
millones,million,0
soportar,bear,0
acabado,finish,0
feliz,happy,0
esperanza,hope,0
flor,flower,0
vestir,clothe,0
extraño,strange,0
se ha ido,gone,0
comercio,trade,0
melodía,melody,0
viaje,trip,0
oficina,office,0
recibir,receive,0
fila,row,0
boca,mouth,0
exacta,exact,0
símbolo,symbol,0
morir,die,0
menos,least,0
problema,trouble,0
grito,shout,0
excepto,except,0
escribió,wrote,0
semilla,seed,0
tono,tone,0
unirse,join,0
sugerir,suggest,0
limpia,clean,0
rotura,break,0
dama,lady,0
patio,yard,0
aumentando,rise,0
mal,bad,0
golpe,blow,0
aceite,oil,0
sangre,blood,0
tocar,touch,0
creció,grew,0
ciento,cent,0
mezclar,mix,0
equipo,team,0
alambre,wire,0
costo,cost,0
perdido,lost,0
marrón,brown,0
desgaste,wear,0
jardín,garden,0
igual,equal,0
enviado,sent,0
elegir,choose,0
cayó,fell,0
encajar,fit,0
fluir,flow,0
justo,fair,0
banco,bank,0
recoger,collect,0
guardar,save,0
el control,control,0
decimal,decimal,0
oído,ear,0
demás,else,0
bastante,quite,0
rompió,broke,0
caso,case,0
medio,middle,0
matar,kill,0
hijo,son,0
lago,lake,0
momento,moment,0
escala,scale,0
fuerte,loud,0
primavera,spring,0
observar,observe,0
niño,child,0
recta,straight,0
consonante,consonant,0
nación,nation,0
diccionario,dictionary,0
leche,milk,0
velocidad,speed,0
método,method,0
órgano,organ,0
pagar,pay,0
edad,age,0
sección,section,0
vestido,dress,0
nube,cloud,0
sorpresa,surprise,0
tranquila,quiet,0
piedra,stone,0
pequeño,tiny,0
ascenso,climb,0
fresco,cool,0
diseño,design,0
pobre,poor,0
mucho,lot,0
experimento,experiment,0
inferior,bottom,0
clave,key,1
hierro,iron,0
sola,single,0
palillo,stick,0
plana,flat,0
veinte,twenty,0
piel,skin,0
sonrisa,smile,0
pliegue,crease,0
agujero,hole,0
saltar,jump,0
bebé,baby,0
ocho,eight,0
pueblo,village,0
